transaction_id,day_of_week,time_of_day,item_type,quantity,amount,student_discount
1,Wednesday,Morning,Pastry,1,4.16,False
2,Sunday,Morning,Coffee,1,3.86,True
3,Friday,Morning,Coffee,4,15.64,True
4,Thursday,Afternoon,Sandwich,1,9.26,True
5,Monday,Morning,Coffee,1,3.68,True
6,Monday,Afternoon,Sandwich,2,17.22,False
7,Monday,Morning,Sandwich,2,18.28,False
8,Friday,Afternoon,Coffee,1,3.18,True
9,Thursday,Afternoon,Sandwich,1,7.15,False
10,Thursday,Afternoon,Coffee,1,4.05,False
11,Monday,Afternoon,Tea,1,3.55,True
12,Sunday,Afternoon,Coffee,2,8.88,True
13,Friday,Evening,Coffee,3,11.61,True
14,Tuesday,Morning,Coffee,2,6.8,True
15,Tuesday,Morning,Coffee,1,3.03,False
16,Tuesday,Morning,Pastry,2,7.94,True
17,Tuesday,Morning,Pastry,1,4.75,True
18,Wednesday,Morning,Sandwich,1,11.23,True
19,Wednesday,Morning,Coffee,1,4.03,True
20,Tuesday,Morning,Coffee,1,3.39,True
21,Thursday,Morning,Coffee,3,10.68,True
22,Monday,Morning,Coffee,1,3.58,True
23,Tuesday,Evening,Tea,1,3.34,True
24,Wednesday,Morning,Tea,1,3.95,True
25,Wednesday,Afternoon,Pastry,2,10.44,True
26,Friday,Morning,Coffee,1,3.91,True
27,Tuesday,Evening,Coffee,1,4.09,True
28,Wednesday,Afternoon,Coffee,2,7.2,True
29,Thursday,Afternoon,Coffee,1,3.15,True
30,Monday,Afternoon,Coffee,1,4.89,False
31,Thursday,Morning,Pastry,1,3.11,False
32,Monday,Evening,Coffee,1,3.08,True
33,Monday,Afternoon,Sandwich,4,46.64,True
34,Sunday,Afternoon,Tea,1,3.51,True
35,Sunday,Afternoon,Coffee,4,13.76,False
36,Friday,Morning,Pastry,1,4.91,True
37,Tuesday,Afternoon,Pastry,4,19.84,False
38,Monday,Morning,Coffee,1,3.33,True
39,Thursday,Afternoon,Sandwich,1,8.86,False
40,Wednesday,Morning,Coffee,1,4.44,False
41,Monday,Evening,Tea,1,3.17,False
42,Wednesday,Morning,Pastry,1,4.67,True
43,Monday,Morning,Pastry,1,5.35,False
44,Saturday,Afternoon,Coffee,1,2.8,True
45,Tuesday,Afternoon,Coffee,1,3.83,True
46,Thursday,Afternoon,Sandwich,1,9.81,True
47,Tuesday,Morning,Coffee,1,3.1,False
48,Wednesday,Morning,Coffee,2,7.48,False
49,Thursday,Afternoon,Pastry,1,5.13,True
50,Tuesday,Evening,Sandwich,3,25.95,False
51,Sunday,Afternoon,Coffee,1,3.26,True
52,Friday,Morning,Pastry,4,20.72,True
53,Saturday,Evening,Pastry,1,4.77,True
54,Saturday,Morning,Coffee,4,15.88,True
55,Thursday,Morning,Pastry,1,4.44,True
56,Saturday,Morning,Sandwich,2,21.46,False
57,Monday,Morning,Coffee,2,8.3,True
58,Tuesday,Afternoon,Coffee,1,4.32,True
59,Monday,Morning,Pastry,1,4.08,True
